font_key,bundle,material_path_id,material_name,property_type,property_name,value,scale,offset
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_BevelOffset,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_BevelRoundness,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_BevelWidth,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_BumpFace,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_BumpOutline,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_ColorMask,15.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_CullMode,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_Diffuse,0.5,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_FaceDilate,0.20000000298023224,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_FaceUVSpeedX,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_FaceUVSpeedY,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_GlowInner,0.05000000074505806,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_GlowOffset,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_GlowOuter,0.05000000074505806,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_GlowPower,0.75,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_GradientScale,10.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_LightAngle,3.1415998935699463,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_MaskSoftnessX,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_MaskSoftnessY,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_OutlineSoftness,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_OutlineUVSpeedX,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_OutlineUVSpeedY,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_OutlineWidth,0.20000000298023224,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_PerspectiveFilter,0.875,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_Reflectivity,10.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_ScaleRatioA,0.8999999761581421,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_ScaleRatioB,0.5512499809265137,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_ScaleRatioC,0.5512499809265137,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_ScaleX,1.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_ScaleY,1.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_ShaderFlags,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_Sharpness,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_SpecularPower,2.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_Stencil,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_StencilComp,8.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_StencilOp,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_StencilReadMask,255.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_StencilWriteMask,255.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_TextureHeight,2048.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_TextureWidth,2048.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_UnderlayDilate,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_UnderlayOffsetX,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_UnderlayOffsetY,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_UnderlaySoftness,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_VertexOffsetX,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_VertexOffsetY,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_WeightBold,0.75,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,float,_WeightNormal,0.0,,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,color,_ClipRect,"-32767.0,-32767.0,32767.0,32767.0",,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,color,_EnvMatrixRotation,"0.0,0.0,0.0,0.0",,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,color,_FaceColor,"1.0,1.0,1.0,1.0",,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,color,_GlowColor,"0.0,1.0,0.0,0.5",,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,color,_MaskCoord,"0.0,0.0,32767.0,32767.0",,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,color,_OutlineColor,"1.0,1.0,1.0,1.0",,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,color,_ReflectFaceColor,"0.0,0.0,0.0,1.0",,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,color,_ReflectOutlineColor,"0.0,0.0,0.0,1.0",,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,color,_SpecularColor,"1.0,1.0,1.0,1.0",,
EPM_bai_0.2_0.2,download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,4197552658687390998,EPMGOBLD Atlas Material,color,_UnderlayColor,"0.0,0.0,0.0,0.5",,
