blocker_id,path_hint,source_kind,source,bundle,script_name,match_count,runtime_near_count,confidence,unresolved_reason,matched_terms,preview
gonggao_mask,middle/node_gonggao/gongao_bg/gonggaoMask,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\1895751769857850875_UI_GuildMainView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GuildMainView,9,4,high,keyword appears near runtime UI call,gonggao;gonggaoMask,"L49:z=LuaUtils.GetRectTransformWidth(gonggaoMask)/2 | L571:LuaUtils.SetActive(node_gonggao.transform,false) | L939:LuaUtils.SetActive(node_gonggao.transform,true) | L940:UpdateGonggaoTipsSize2()"
right_buttons,right/btn_*,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\1895751769857850875_UI_GuildMainView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GuildMainView,5,2,high,keyword appears near runtime UI call,btn_6;right,"L682:elseif h==EMoveingDir.Right then | L796:UIUtil.SetGray(btn_jiantou_right.transform,m)"
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\1895751769857850875_UI_GuildMainView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GuildMainView,31,6,high,keyword appears near runtime UI call,Boxicon;box;lingtu_boxicon;titan_boxicon,"L194:e[""box""].onClick:AddListener( | L220:t[""box""].onClick:AddListener( | L246:e[""box""].onClick:AddListener( | L807:LuaUtils.SetActive(rd_gift_box.transform,true) | L809:LuaUtils.SetActive(rd_gift_box.transform,false) | L812:LuaUtils.SetActive(rd_gift_box.transform,false)"
wanfa_button_backgrounds,btn_wanfa*/bg_ditu,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\1895751769857850875_UI_GuildMainView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GuildMainView,58,55,high,keyword appears near runtime UI call,ContentWanfa;btn_wanfa,"L119:self:AddBtnClickListener(btn_wanfa1.transform:GetComponent(typeof(CS.UnityEngine.UI.Button)), | L150:local e=LuaUtils.GetLuaComBinder(btn_wanfa2.transform) | L184:self:AddBtnClickListener(btn_wanfa3.transform:GetComponent(typeof(CS.UnityEngine.UI.Button)), | L193:local e=btn_wanfa3:GetComponents() | L214:self:AddBtnClickListener(btn_wanfa8.transform:GetComponent(typeof(CS.UnityEngine.UI.Button)), | L219:local t=btn_wanfa8:GetComponents() | L240:self:AddBtnClickListener(btn_wanfa4.transform:GetComponent(typeof(CS.UnityEngine.UI.Button)), | L245:local e=btn_wanfa4:GetComponents()"
wanfa_viewport_mask,middle/root_wanfa/Viewport/UIMask,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\1895751769857850875_UI_GuildMainView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GuildMainView,16,13,high,keyword appears near runtime UI call,ContentWanfa;Mask;Viewport;root_wanfa,"L49:z=LuaUtils.GetRectTransformWidth(gonggaoMask)/2 | L512:LuaUtils.SetLocalPos(root_wanfa.transform,100,0,0) | L513:LuaUtils.SetRectTransformSizeDelta(root_wanfa.transform,540,600) | L572:local e=ContentWanfa.gameObject:GetComponent(typeof(CS.UnityEngine.UI.ContentSizeFitter)) | L574:LuaUtils.RebuildLayout(ContentWanfa.transform) | L588:local e=ContentWanfa.transform:GetComponent(typeof(CS.UnityEngine.UI.HorizontalLayoutGroup)) | L589:local t=ContentWanfa.transform:GetComponent(typeof(CS.UnityEngine.UI.ContentSizeFitter)) | L790:if UIUtil.isScrollRectStart(root_wanfa)~=w then"
middle_guild_tmqj,middle/Image/guild_tmqj,decoded_existing_xlua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,,-6351603197391775840_UI_MainPage_security_xor_raw.lua,6,1,high,keyword appears near runtime UI call,middle,L1327:function refreshRightMiddleView()
middle_guild_tmqj,middle/Image/guild_tmqj,decoded_existing_xlua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\2102292922432672894_UI_JingjiFrame_View_security_xor_raw.lua,,2102292922432672894_UI_JingjiFrame_View_security_xor_raw.lua,1,1,high,keyword appears near runtime UI call,middle,"L94:local e=d:Find(""middle/wenquanPannel"")"
middle_guild_tmqj,middle/Image/guild_tmqj,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-8163521061021402714_UI_GuildTerritory_Radar_security_xor_raw.lua,download/xlualogic/modules/guildterritory.assetbundle,UI_GuildTerritory_Radar,2,1,high,keyword appears near runtime UI call,middle,"L45:LuaUtils.SetLocalPos(middle_img_bg.transform,0,0,0)"
right_buttons,right/btn_*,decoded_existing_xlua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,,-6351603197391775840_UI_MainPage_security_xor_raw.lua,17,6,high,keyword appears near runtime UI call,right,"L108:btn_right.onClick:AddListener(onBtnRight) | L122:local e=e:Find(""right/node_bottom/toogles/toggle3"") | L1327:function refreshRightMiddleView() | L1461:function refreshRightBottomView() | L1634:LuaUtils.SetActive(btn_right.transform,#PlayerMgr.mainShowHeroList>1) | L2614:refreshRight()"
right_buttons,right/btn_*,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-5831311429067198371_UI_GameGuildBoxInfoView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GameGuildBoxInfoView,7,1,high,keyword appears near runtime UI call,right,"L92:LuaUtils.SetActive(im_jiantou_right.transform,false)"
right_buttons,right/btn_*,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-5038574723730485097_UI_GuildWarBattleGround_security_xor_raw.lua,download/xlualogic/modules/csguildwar.assetbundle,UI_GuildWarBattleGround,2,2,high,keyword appears near runtime UI call,right,"L115:LuaUtils.SetActive(node_rightbot,false) | L148:LuaUtils.SetActive(node_rightbot,true)"
right_buttons,right/btn_*,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\474706197804274528_map_task_info_tips_security_xor_raw.lua,download/xlualogic/modules/guildterritory.assetbundle,map_task_info_tips,1,1,high,keyword appears near runtime UI call,right,L46:s=right_root.transform:GetComponent(typeof(CS.UnityEngine.Animator))
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_existing_xlua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-4615102950863731052_UI_Dock_security_xor_raw.lua,,-4615102950863731052_UI_Dock_security_xor_raw.lua,1,1,high,keyword appears near runtime UI call,box,L471:if not e and RedPointMgr:checkCampUnderwearBoxGift()then
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\4758199554370105319_UI_GuildGiftView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GuildGiftView,27,5,high,keyword appears near runtime UI call,box,"L162:LuaUtils.SetActive(text_box_left_time.transform,false) | L230:LuaUtils.SetActive(text_box_left_time.transform,true) | L232:LuaUtils.SetActive(text_box_left_time.transform,false) | L319:UIUtil.RefreshRedPoint2(rd_box,g) | L855:elseif e==""guild_gift_box_exp""then"
